id|title|releaseDate|storeReleaseDate|FinalPrice|OriginalPrice|PriceDiscountPercentage|PriceDiscountAmount|PriceCurrency|productState|storeLink|Developer|Publisher|OperatingSystem1|OperatingSystem2|OperatingSystem3|Tag1|Tag2|Tag3|Tag4|Tag5|Tag6|Tag7|Tag8|Tag9|Tag10
1490050478|REAL BOUT FATAL FURY 2: THE NEWCOMERS|1998-01-01|2017-10-05|1.79|5.99|-70.0|4.20|USD|default|https://www.gog.com/en/game/real_bout_fatal_fury_2|SNK CORPORATION|SNK CORPORATION|windows|linux|osx|{'name': 'Action', 'slug': 'action'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Arcade', 'slug': 'arcade'}|{'name': 'Fighting', 'slug': 'fighting'}||||||
1753573785|Bugriders - The Race of Kings|1997-12-01|2023-05-08|3.99|7.99|-50.0|4.00|USD|default|https://www.gog.com/en/game/bugriders_the_race_of_kings|n-Space|Piko Interactive|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Third Person', 'slug': 'third-person'}|{'name': 'Fighting', 'slug': 'fighting'}|{'name': 'Supernatural', 'slug': 'supernatural'}|{'name': 'Nature', 'slug': 'nature'}|{'name': 'Flight', 'slug': 'flight'}|{'name': 'Only On GOG', 'slug': 'only-on-gog'}|{'name': 'Racing', 'slug': 'racing'}|
1207658826|Constructor Classic 1997|1997-11-30|2017-01-31|5.99|5.99||0.00|USD|default|https://www.gog.com/en/game/constructor|System 3 Software|System 3 Software|windows|linux|osx|{'name': 'Simulation', 'slug': 'simulation'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Managerial', 'slug': 'managerial'}|{'name': 'Building', 'slug': 'building'}||||||
1441098222|War Wind II: Human Onslaught|1997-11-30|2016-08-18|1.49|5.99|-75.0|4.50|USD|default|https://www.gog.com/en/game/war_wind_ii_human_onslaught|DreamForge Intertainment|SNEG|windows|||{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Science', 'slug': 'science'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Real-Time', 'slug': 'real-time'}|{'name': 'Isometric', 'slug': 'isometric'}|{'name': 'Magic', 'slug': 'magic'}|{'name': 'War', 'slug': 'war'}|{'name': 'Cartoony', 'slug': 'cartoony'}|{'name': 'Base Building', 'slug': 'base-building'}
1207659107|Krush Kill 'N Destroy Xtreme|1997-10-31|2012-09-13|4.54|6.99|-35.0|2.45|USD|default|https://www.gog.com/en/game/krush_kill_n_destroy_xtreme|Beam Software|Ziggurat Interactive|windows|||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Science', 'slug': 'science'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Real-Time', 'slug': 'real-time'}|{'name': 'Isometric', 'slug': 'isometric'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}|{'name': 'Base Building', 'slug': 'base-building'}|{'name': 'Post-apocalyptic', 'slug': 'post-apocalyptic'}|{'name': 'RTS', 'slug': 'rts'}
1207658738|Earth 2140 Trilogy|1997-10-15|2009-03-17|3.49|6.99|-50.0|3.50|USD|default|https://www.gog.com/en/game/earth_2140_trilogy|Reality Pump Studios|TopWare Interactive|windows|||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Science', 'slug': 'science'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Real-Time', 'slug': 'real-time'}|{'name': 'RTS', 'slug': 'rts'}||||
1429170550|Star Trek™: Starfleet Academy|1997-09-12|2015-05-07|7.99|9.99|-20.0|2.00|USD|default|https://www.gog.com/en/game/star_trek_starfleet_academy|Interplay|Interplay|windows|||{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Science', 'slug': 'science'}|{'name': 'Simulation', 'slug': 'simulation'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'First-Person', 'slug': 'first-person'}|{'name': 'Real-Time', 'slug': 'real-time'}|{'name': 'Multiplayer', 'slug': 'multiplayer'}|{'name': 'FPS', 'slug': 'fps'}|{'name': 'Space', 'slug': 'space'}
1752794474|Mortal Kombat 4|1997-09-11|2020-03-11|5.99|5.99||0.00|USD|default|https://www.gog.com/en/game/mortal_kombat_4|Midway Games|Warner Bros. Interactive Entertainment|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Violent', 'slug': 'violent'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}|{'name': 'Fighting', 'slug': 'fighting'}|{'name': 'Combat', 'slug': 'combat'}|{'name': 'Only On GOG', 'slug': 'only-on-gog'}|||
1571977582|Meat Puppet|1997-08-01|2022-10-03|3.14|8.99|-65.0|5.85|USD|default|https://www.gog.com/en/game/meat_puppet|Kronos Digital Entertainment|Piko Interactive|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Puzzle', 'slug': 'puzzle'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Dark', 'slug': 'dark'}|{'name': 'Platformer', 'slug': 'platformer'}|{'name': 'Isometric', 'slug': 'isometric'}|{'name': 'Cyberpunk', 'slug': 'cyberpunk'}|{'name': 'Dystopian', 'slug': 'dystopian'}|
1430136184|Pacific General|1997-06-30|2015-05-05|2.39|5.99|-60.0|3.60|USD|default|https://www.gog.com/en/game/pacific_general|Strategic Simulations|SNEG|windows|||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Turn-Based', 'slug': 'turn-based'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Tactical', 'slug': 'tactical'}|{'name': 'Historical', 'slug': 'historical'}|{'name': 'War', 'slug': 'war'}|{'name': 'Military', 'slug': 'military'}|{'name': 'World War II', 'slug': 'world-war-ii'}||
1207658906|The Last Express|1997-03-30|2011-01-26|1.19|5.99|-80.0|4.80|USD|default|https://www.gog.com/en/game/last_express_the|Smoking Car Productions|Phoenix Licensing|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Choices Matter', 'slug': 'choices-matter'}|{'name': 'Point&Click', 'slug': 'point-and-click'}|{'name': 'Mystery', 'slug': 'mystery'}|{'name': 'Historical', 'slug': 'historical'}|{'name': 'Investigation', 'slug': 'investigation'}|{'name': 'Realistic', 'slug': 'realistic'}|{'name': 'Detective-mystery', 'slug': 'detective'}|{'name': 'Noir', 'slug': 'noir'}
1991056046|Alien Rampage|1996-12-30|2017-08-03|2.79|7.99|-65.0|5.20|USD|default|https://www.gog.com/en/game/alien_rampage|Inner Circle Creations|Piko Interactive|windows|linux|osx|{'name': 'Action', 'slug': 'action'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Science', 'slug': 'science'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Platformer', 'slug': 'platformer'}|{'name': 'Arcade', 'slug': 'arcade'}||||
1634382231|Star General|1996-12-01|2023-06-06|2.99|5.99|-50.0|3.00|USD|default|https://www.gog.com/en/game/star_general|Catware|SNEG|windows|||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Turn-Based', 'slug': 'turn-based'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Tactical', 'slug': 'tactical'}|{'name': 'Space', 'slug': 'space'}|{'name': 'Top-Down', 'slug': 'top-down'}|{'name': 'War', 'slug': 'war'}|{'name': 'Retro', 'slug': 'retro'}|
1955376433|TWINKLE STAR SPRITES|1996-11-25|2017-05-30|1.79|5.99|-70.0|4.20|USD|default|https://www.gog.com/en/game/twinkle_star_sprites|SNK CORPORATION|SNK CORPORATION|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Female Protagonist', 'slug': 'female-protagonist'}|{'name': 'Arcade', 'slug': 'arcade'}|{'name': 'Local Multiplayer', 'slug': 'local-multiplayer'}|"{'name': ""Shoot'EmUp"", 'slug': 'shoot-em-up'}"|||
