steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
2654680|Khuga Bash!|False|Khuga Labs|Khuga Labs|1|Action|4|Casual|2024-05-17|0|True|False|True
1278430|Warehouse attack|False|Klubnika|Klubnika|1|Action|25|Adventure|2020-05-05|0|True|False|False
2621920|Z_BM_Test Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2023-09-29|0|True|False|False
1343970|The Running Man|False|samuel crevier|samuel crevier|1|Action|25|Adventure|2020-06-25|0|True|False|False
2654690|Mutants Ate My Carrots|False|Animatic Vision|Dionous Games|25|Adventure|23|Indie||0|True|True|True
1311210|Virus Madness - Dungeons of your Body|False|Adam Cs|Adam Cs|1|Action|4|Casual|2020-05-31|0|True|True|False
2654700|"扔彩虹模擬器 | Coin Toss Rainbow Simulator"|False|BeanKing Computer Entertainment|BeanKing Computer Entertainment|28|Simulation|N/A|N/A|2023-11-01|0|True|False|False
1311220|Johann Weiss|False|JMAA Games|JMAA Games|1|Action|25|Adventure|2020-05-22|0|True|True|True
1343990|Dooria|False|Paper Atom|Paper Atom|23|Indie|N/A|N/A|2020-07-17|0|True|True|False
2589180|Geometric Link|False|Paul Töpfer|Brainscale|1|Action|4|Casual|2024-01-01|0|True|False|False
2687490|Super Drunken Guy|False|Nerdvision Games|Nerdvision Games|1|Action|23|Indie|2024-04-05|0|True|False|True
2621960|Reconnoitre|False|Not Good Digital PTY LTD|Not Good Digital PTY LTD|25|Adventure|23|Indie|2024-04-03|0|True|False|False
1376790|Pyramid Runner|False|Kuzmin Nikolay|Kuzmin Nikolay|1|Action|4|Casual|2024-06-18|0|True|False|False
2687510|Centrist|False|Yrbiax|Yrbiax|4|Casual|23|Indie|2023-12-14|0|True|False|False
1409570|Goblin Takes No Argument[s]|False|Zeroject|Zeroject|23|Indie|2|Strategy|2020-10-21|0|True|False|False
1278500|Tower! 3D|False|FeelThere|FeelThere|23|Indie|28|Simulation|2020-07-31|0|True|False|False
2687530|Fairy Carrots|False|riinwin|riinwin|1|Action|25|Adventure|2024-01-10|0|True|False|True
1376830|Bankrupt Heroines|False|KassKabe|KassKabe|1|Action|25|Adventure|2020-10-15|0|True|False|False
1409600|回纹平台跳跃|False|都要恰饭的|都要恰饭的|4|Casual|23|Indie|2020-09-29|0|True|False|False
1311300|HIVE|False|Sue Bean Studios|Sue Bean Studios|1|Action|23|Indie|2020-07-30|0|True|False|False
1344070|Trollhunters: Defenders of Arcadia|False|WayForward|Outright Games Ltd.|1|Action|N/A|N/A|2020-09-24|0|True|False|False
1376840|Lurkers|False|Ertal Games|Ertal Games|4|Casual|23|Indie|2020-11-02|0|True|False|False
1278540|Esports Godfather|False|Asteroid Game Studio|Asteroid Game Studio|4|Casual|23|Indie|2024-05-23|0|True|False|False
1311310|Escape from the hospital|False|Kiobe|Kiobe|25|Adventure|4|Casual|2020-05-22|18|True|True|True
